TITLE,CONTEXT,QUESTION,ANSWER
Features and overview,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).","For patients at risk for overdose, what should be done?","Offer risk mitigation strategies, including naloxone"
Features and overview,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",How often the PDMP data need to be reviewed?,at least every 3 months
Features and overview,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",How often the UDT needs to be performed?,at least annually
Features and overview,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",How often the prescription drug monitoring program data need to be reviewed?,at least every 3 months
Features and overview,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",How often the urine drug testing needs to be performed?,at least annually
Features and overview,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).","For patients at risk for overdose, how to address the harms of opioid use?","Offer risk mitigation strategies, including naloxone"
Features and overview,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",What should not be prescribed concurrently when possible?,opioid and benzodiazepines
Features and overview,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",What should be offered for patients with OUD?,MAT (Medication-Assisted Treatment)
Features and overview,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",What should be arranged for patients with OUD?,MAT (Medication-Assisted Treatment)
Features and overview,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",What should be offered for patients with opioid use disorder?,MAT (Medication-Assisted Treatment)
Features and overview,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",Who should be offered MAT?,patients with OUD (Opioid Use Disorder)
Features and overview,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",Who should be offered medication-assisted treatment?,patients with OUD (Opioid Use Disorder)
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",When to re-evaluate the risks and benefits of continuing opioid therapy?,"no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors"
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What does it mean by severe unmanageable adverse effects?,"drowsiness, constipation, and cognitive impairment"
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",How much dosage indicates high risk of adverse events?,doses of 90 MEDD (Morphine equivalent daily dose) and higher
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What to do when there is no pain reduction?,Re-evaluate the risks and benefits of continuing opioid therapy
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What to do when there is no improvement in function?,Re-evaluate the risks and benefits of continuing opioid therapy
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What to do when patient requests to discontinue therapy?,Re-evaluate the risks and benefits of continuing opioid therapy
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What to do when there are severe unmanageable adverse effects?,Re-evaluate the risks and benefits of continuing opioid therapy
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What are some examples of severe unmanageable adverse effects?,"drowsiness, constipation, and cognitive impairment"
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What to do when dosage indicates high risk of adverse events?,Re-evaluate the risks and benefits of continuing opioid therapy
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What dosage indicates high risk of adverse events?,doses of 90 MEDD (Morphine equivalent daily dose) and higher
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What to do when there is non-adherence to the treatment plan or unsafe behaviors?,Re-evaluate the risks and benefits of continuing opioid therapy
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What are examples of non-adherence to the treatment plan or unsafe behaviors?,"early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT"
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What to do when there are concerns related to an increased risk of SUD?,Re-evaluate the risks and benefits of continuing opioid therapy
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What to do when there are concerns related to an increased risk of substance use disorder?,Re-evaluate the risks and benefits of continuing opioid therapy
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",Which factors can raise concerns related to an increased risk of substance use disorder?,"behaviors, age < 30, family history, personal history of SUD"
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",Which behaviors can be characterized as unsafe?,"early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT"
Features and overview,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What to do when there is an overdose event involving opioids?,Re-evaluate the risks and benefits of continuing opioid therapy
Features and overview,"Medical comorbidities that can increase risk are lung disease, sleep apnea, liver disease, renal disease, fall risk, advanced age. Consider tapering opioids when there is concomitant use of medications that increase risk (e.g., benzodiazepines). Mental health comorbidities that can worsen with opioid therapy are PTSD, depression, anxiety. Prior to any changes in therapy, discuss the risks of continued use, along with possible benefits, with the Veteran. Establish a plan to consider dose reduction, consultation with specialists, or consider alternative pain management strategies. Personal history of SUD includes alcohol use disorder (AUD), opioid use disorder (OUD), and/or a use disorder involving other substances",Which medical comorbidities can increase risk during opioid therapy?,"lung disease, sleep apnea, liver disease, renal disease, fall risk, advanced age"
Features and overview,"Medical comorbidities that can increase risk are lung disease, sleep apnea, liver disease, renal disease, fall risk, advanced age. Consider tapering opioids when there is concomitant use of medications that increase risk (e.g., benzodiazepines). Mental health comorbidities that can worsen with opioid therapy are PTSD, depression, anxiety. Prior to any changes in therapy, discuss the risks of continued use, along with possible benefits, with the Veteran. Establish a plan to consider dose reduction, consultation with specialists, or consider alternative pain management strategies. Personal history of SUD includes alcohol use disorder (AUD), opioid use disorder (OUD), and/or a use disorder involving other substances",What to do when there is concomitant use of medications that increase risk?,Consider tapering opioids
Features and overview,"Medical comorbidities that can increase risk are lung disease, sleep apnea, liver disease, renal disease, fall risk, advanced age. Consider tapering opioids when there is concomitant use of medications that increase risk (e.g., benzodiazepines). Mental health comorbidities that can worsen with opioid therapy are PTSD, depression, anxiety. Prior to any changes in therapy, discuss the risks of continued use, along with possible benefits, with the Veteran. Establish a plan to consider dose reduction, consultation with specialists, or consider alternative pain management strategies. Personal history of SUD includes alcohol use disorder (AUD), opioid use disorder (OUD), and/or a use disorder involving other substances",Which mental health comorbidities can worsen with opioid therapy?,"PTSD, depression, anxiety"
Features and overview,"Medical comorbidities that can increase risk are lung disease, sleep apnea, liver disease, renal disease, fall risk, advanced age. Consider tapering opioids when there is concomitant use of medications that increase risk (e.g., benzodiazepines). Mental health comorbidities that can worsen with opioid therapy are PTSD, depression, anxiety. Prior to any changes in therapy, discuss the risks of continued use, along with possible benefits, with the Veteran. Establish a plan to consider dose reduction, consultation with specialists, or consider alternative pain management strategies. Personal history of SUD includes alcohol use disorder (AUD), opioid use disorder (OUD), and/or a use disorder involving other substances","Prior to any changes in therapy, what should be discussed with the Veteran?","the risks of continued use, along with possible benefits"
Features and overview,"Medical comorbidities that can increase risk are lung disease, sleep apnea, liver disease, renal disease, fall risk, advanced age. Consider tapering opioids when there is concomitant use of medications that increase risk (e.g., benzodiazepines). Mental health comorbidities that can worsen with opioid therapy are PTSD, depression, anxiety. Prior to any changes in therapy, discuss the risks of continued use, along with possible benefits, with the Veteran. Establish a plan to consider dose reduction, consultation with specialists, or consider alternative pain management strategies. Personal history of SUD includes alcohol use disorder (AUD), opioid use disorder (OUD), and/or a use disorder involving other substances",What includes personal history of SUD?,"alcohol use disorder (AUD), opioid use disorder (OUD), and/or a use disorder involving other substances"
Features and overview,"Medical comorbidities that can increase risk are lung disease, sleep apnea, liver disease, renal disease, fall risk, advanced age. Consider tapering opioids when there is concomitant use of medications that increase risk (e.g., benzodiazepines). Mental health comorbidities that can worsen with opioid therapy are PTSD, depression, anxiety. Prior to any changes in therapy, discuss the risks of continued use, along with possible benefits, with the Veteran. Establish a plan to consider dose reduction, consultation with specialists, or consider alternative pain management strategies. Personal history of SUD includes alcohol use disorder (AUD), opioid use disorder (OUD), and/or a use disorder involving other substances","What is an example of medication that can increase risk during opioid therapy, if used concomitantly?",benzodiazepines
Features and overview,"When considering an opioid taper, monitor for conditions that may warrant evaluation and arrange primary care and/or emergency department follow-up when indicated. If a patient is taking more than their prescribed dosage of opioids or showing signs of aberrant behavior, before deciding to change therapy, look for “red flags”. The red flags are progressive numbness or weakness, progressive changes in bowel or bladder function, unexplained weight loss, history of internal malignancy that has not been re-staged, signs of/risk factors for infection. An urgent evaluation may be needed when there is progressive numbness or weakness, progressive changes in bowel or bladder function, unexplained weight loss, a history of internal malignancy that has not been re-staged, signs of/risk factors for infection such as fever, recent skin or urinary infection, immunosuppression, IV drug use.",What to monitor for when considering an opioid taper?,conditions that may warrant evaluation
Features and overview,"When considering an opioid taper, monitor for conditions that may warrant evaluation and arrange primary care and/or emergency department follow-up when indicated. If a patient is taking more than their prescribed dosage of opioids or showing signs of aberrant behavior, before deciding to change therapy, look for “red flags”. The red flags are progressive numbness or weakness, progressive changes in bowel or bladder function, unexplained weight loss, history of internal malignancy that has not been re-staged, signs of/risk factors for infection. An urgent evaluation may be needed when there is progressive numbness or weakness, progressive changes in bowel or bladder function, unexplained weight loss, a history of internal malignancy that has not been re-staged, signs of/risk factors for infection such as fever, recent skin or urinary infection, immunosuppression, IV drug use.",What to do if a patient is taking more than their prescribed dosage of opioids?,"before deciding to change therapy, look for “red flags”. The red flags are progressive numbness or weakness, progressive changes in bowel or bladder function, unexplained weight loss, history of internal malignancy that has not been re-staged, signs of/risk factors for infection."
